X Y Z x1 y1 x2 y2 x3 y3 x4 y4
-0.2872 4.2507 -1.5964 687.4199 484.5505 661.1109 489.3925 684.5483 487.5775 684.0023 487.5181
-13.6846 3.5647 -2.9878 398.6299 479.7484 415.1064 477.4356 435.0691 466.4092 399.4637 463.0240
-24.4351 -11.5990 6.2725 241.1416 81.6328 140.1961 90.6793 72.7637 177.1419 323.9104 157.8874
6.0825 -1.3005 3.5743 859.3526 330.8649 744.2380 337.5615 737.0402 388.0252 886.6800 390.3679
-10.5014 -4.1967 6.4526 551.4753 251.2167 387.4092 254.8123 363.4425 340.6983 594.7180 335.6708
0.9455 -7.6487 -0.5566 691.2785 210.3507 706.4366 215.4084 664.2277 223.3750 753.6056 224.0180
14.4553 4.3388 3.8875 1043.7978 454.7081 895.9667 467.0378 919.6868 517.7505 1039.0487 519.9530
-20.0462 10.7524 7.0901 403.0277 596.3326 150.1010 586.3814 212.3913 680.3388 364.2837 683.1373
9.0216 7.6903 3.3212 939.8816 534.7592 782.0306 545.6215 824.3735 591.5337 916.4013 591.7319
-6.4258 10.5945 -7.7416 510.6528 661.3731 593.3070 660.8683 651.3364 596.8162 473.7307 596.7353
-15.9386 -8.0900 -5.2013 296.3140 226.1970 429.8535 229.8028 384.6611 196.2711 359.4038 184.5448
6.9212 -6.7597 1.4791 835.9334 219.1282 800.5544 224.6633 763.3927 252.0170 893.8610 256.3559
18.3977 1.1310 -5.2004 1003.3797 428.3485 1089.6867 441.7241 1095.6863 395.0116 1017.0408 401.7198
10.5942 -9.6906 0.2804 885.8563 160.0428 896.7922 164.7375 843.9852 177.3792 960.3430 185.3994
2.9467 2.9313 -1.1540 753.3772 451.6035 724.3643 458.0562 740.4673 459.7750 757.1331 460.5296
17.4736 9.4243 0.4525 1075.9985 585.2405 984.0167 603.2554 1034.8296 615.2336 1042.4893 614.8870
18.0721 -12.2559 -0.2147 1018.1957 106.1080 1062.2848 108.8234 996.3849 112.5526 1107.7207 128.2132
22.8837 -1.9022 2.8229 1176.4503 319.1170 1099.7662 330.0995 1089.5389 366.7338 1207.3921 376.2673
-21.8545 9.9817 7.1487 363.7958 578.6745 116.5951 568.0872 174.5633 663.4159 329.4178 665.7960
-18.7729 -7.8808 2.2058 322.4798 190.3877 287.2272 194.9159 242.2065 238.4933 385.0747 225.9705
